gc.content	chrom.arm
chr1_0	0.428456171915	chr1
chr1_795847	0.524862751861	chr1
chr1_865428	0.642295363054	chr1
chr1_919083	0.604061000102	chr1
chr1_977836	0.636787128447	chr1
chr1_1033648	0.579691806348	chr1
chr1_1091338	0.610576055982	chr1
chr1_1146783	0.621918973392	chr1
chr1_1200863	0.624577665352	chr1
chr1_1257393	0.630244419663	chr1
chr1_1312093	0.552595537146	chr1
chr1_1371964	0.573965776043	chr1
chr1_1455238	0.563518380428	chr1
chr1_1518266	0.579558163708	chr1
chr1_1594266	0.545657884718	chr1
chr1_1699329	0.482793849716	chr1
chr1_1758057	0.462091374557	chr1
chr1_1818992	0.58435670737	chr1
chr1_1876562	0.547183110699	chr1
chr1_1934728	0.580361026533	chr1
chr1_1989903	0.569873159893	chr1
chr1_2043907	0.547588345996	chr1
chr1_2101294	0.592104316547	chr1
chr1_2156893	0.571233475363	chr1
chr1_2211810	0.618436164404	chr1
chr1_2264922	0.562799861357	chr1
chr1_2319738	0.586483084786	chr1
chr1_2372175	0.643873572545	chr1
chr1_2422701	0.63170577546	chr1
chr1_2473328	0.603256048562	chr1
chr1_2530820	0.550577522345	chr1
chr1_2584410	0.592785258398	chr1
chr1_2734371	0.560618187362	chr1
chr1_2786846	0.5995132183	chr1
chr1_2837381	0.550725749238	chr1
chr1_2889533	0.546435585045	chr1
chr1_2941981	0.553123896929	chr1
chr1_2992974	0.595115630767	chr1
chr1_3043911	0.572932504475	chr1
chr1_3095869	0.569680997522	chr1
chr1_3146714	0.564981537173	chr1
chr1_3199251	0.568011786541	chr1
chr1_3251513	0.573552820592	chr1
chr1_3303026	0.579682615062	chr1
chr1_3353563	0.57407300617	chr1
chr1_3405585	0.634694760014	chr1
chr1_3456462	0.618007438594	chr1
chr1_3509428	0.578376533495	chr1
chr1_3562166	0.573801434504	chr1
chr1_3615145	0.589107125913	chr1
chr1_3667839	0.541542244862	chr1
chr1_3724768	0.485321381644	chr1
chr1_3780324	0.528628589639	chr1
chr1_3836805	0.506685913995	chr1
chr1_4039452	0.497777281774	chr1
chr1_4093214	0.501873045331	chr1
chr1_4151407	0.494667670111	chr1
chr1_4205885	0.471170113593	chr1
chr1_4263810	0.443739589609	chr1
chr1_4320243	0.466680697189	chr1
chr1_4372509	0.506560502411	chr1
chr1_4426010	0.461841675159	chr1
chr1_4478016	0.47667308022	chr1
chr1_4530508	0.494946383536	chr1
chr1_4582450	0.441419960324	chr1
chr1_4634873	0.488148528656	chr1
chr1_4689380	0.514189266506	chr1
chr1_4741813	0.542724862643	chr1
chr1_4793866	0.516540578385	chr1
chr1_4845284	0.442444101773	chr1
chr1_4897163	0.435630515657	chr1
chr1_4957105	0.464463248966	chr1
chr1_5009810	0.456109318509	chr1
chr1_5061255	0.422873217914	chr1
chr1_5118841	0.388356280489	chr1
chr1_5171933	0.456786148673	chr1
chr1_5227840	0.416187694337	chr1
chr1_5280904	0.454212104429	chr1
chr1_5333264	0.470103640712	chr1
chr1_5385945	0.467850907159	chr1
chr1_5438636	0.488849154108	chr1
chr1_5489528	0.489416763229	chr1
chr1_5541307	0.497871690622	chr1
chr1_5593695	0.431549595007	chr1
chr1_5646411	0.445003499347	chr1
chr1_5699277	0.495007673558	chr1
chr1_5754661	0.507002904772	chr1
chr1_5808709	0.509183919337	chr1
chr1_5862661	0.522835719155	chr1
chr1_5916939	0.532220354376	chr1
chr1_5968691	0.474159271813	chr1
chr1_6021204	0.539010747762	chr1
chr1_6073586	0.539134100741	chr1
chr1_6128141	0.55722954593	chr1
chr1_6180709	0.579068548538	chr1
chr1_6234130	0.522322726262	chr1
chr1_6292612	0.592478515476	chr1
chr1_6345207	0.532865602695	chr1
chr1_6402789	0.525345918007	chr1
chr1_6465086	0.581809038909	chr1
chr1_6528721	0.576995634129	chr1
chr1_6584379	0.505945823343	chr1
chr1_6646102	0.544681536644	chr1
chr1_6701963	0.456274157924	chr1
chr1_6759914	0.472737239222	chr1
chr1_6821939	0.442392816492	chr1
chr1_6877287	0.403675538657	chr1
chr1_6930938	0.448110400952	chr1
chr1_6983038	0.50078116069	chr1
chr1_7035523	0.479549563121	chr1
chr1_7088626	0.473337521656	chr1
chr1_7141152	0.483104232874	chr1
chr1_7194330	0.454248001487	chr1
chr1_7248119	0.447478328662	chr1
chr1_7301991	0.44383715489	chr1
chr1_7355415	0.44261635702	chr1
chr1_7407624	0.484850182022	chr1
chr1_7461188	0.526908790029	chr1
chr1_7517990	0.544213200923	chr1
chr1_7569546	0.52334443629	chr1
chr1_7622684	0.519267149553	chr1
chr1_7681358	0.558516336369	chr1
chr1_7733633	0.505508810323	chr1
chr1_7786638	0.419522554189	chr1
chr1_7841261	0.415510637908	chr1
chr1_7895829	0.445882497758	chr1
chr1_7952695	0.442155335861	chr1
chr1_8011766	0.462086245549	chr1
chr1_8072429	0.427070510931	chr1
chr1_8130107	0.435892076431	chr1
chr1_8187517	0.461439588689	chr1
chr1_8246644	0.488451426099	chr1
chr1_8306737	0.461142662978	chr1
chr1_8368539	0.534307739972	chr1
chr1_8423409	0.444523033969	chr1
chr1_8477133	0.440172277337	chr1
chr1_8531463	0.419404284968	chr1
chr1_8588872	0.391265860136	chr1
chr1_8643095	0.39850128246	chr1
chr1_8702745	0.404677281774	chr1
chr1_8759016	0.407307512497	chr1
chr1_8814629	0.416887354986	chr1
chr1_8873157	0.474944067825	chr1
chr1_8932603	0.477934416181	chr1
chr1_8997862	0.477820399331	chr1
chr1_9058863	0.496164800028	chr1
chr1_9116095	0.491571469551	chr1
chr1_9175357	0.493418603864	chr1
chr1_9234462	0.498443402826	chr1
chr1_9291637	0.525698827773	chr1
chr1_9344868	0.530742115028	chr1
chr1_9398767	0.543290840763	chr1
chr1_9453050	0.505802606817	chr1
chr1_9510437	0.493400849396	chr1
chr1_9571656	0.4685848682	chr1
chr1_9637133	0.547592288407	chr1
chr1_9694967	0.503353063667	chr1
chr1_9755955	0.512172912049	chr1
chr1_9814157	0.46396023198	chr1
chr1_9876920	0.518899622008	chr1
chr1_9934063	0.48275862069	chr1
chr1_9995513	0.467932683057	chr1
chr1_10063073	0.465585629398	chr1
chr1_10128873	0.426400582764	chr1
chr1_10187901	0.440896860987	chr1
chr1_10249225	0.447393349964	chr1
chr1_10312562	0.398485743436	chr1
chr1_10368430	0.418714918244	chr1
chr1_10425795	0.476333920846	chr1
chr1_10488204	0.476086227009	chr1
chr1_10550782	0.450428829231	chr1
chr1_10604532	0.420590918661	chr1
chr1_10661527	0.545305381824	chr1
chr1_10713330	0.594566061789	chr1
chr1_10763532	0.55609654834	chr1
chr1_10816520	0.52281110835	chr1
chr1_10868840	0.532893399139	chr1
chr1_10922938	0.525332599321	chr1
chr1_10977432	0.515596015115	chr1
chr1_11035651	0.467860274099	chr1
chr1_11100663	0.500283157776	chr1
chr1_11162465	0.45210354841	chr1
chr1_11218940	0.44099378882	chr1
chr1_11278670	0.451832921223	chr1
chr1_11338928	0.511383928571	chr1
chr1_11397167	0.503669837266	chr1
chr1_11454253	0.495582898115	chr1
chr1_11510737	0.528114368717	chr1
chr1_11563058	0.51353666257	chr1
chr1_11616763	0.501161932866	chr1
chr1_11670982	0.530637803024	chr1
chr1_11726876	0.537672364326	chr1
chr1_11784384	0.530608637239	chr1
chr1_11840952	0.502592826814	chr1
chr1_11896296	0.515509574697	chr1
chr1_11952067	0.516135682456	chr1
chr1_12015125	0.518663092645	chr1
chr1_12074814	0.52437479948	chr1
chr1_12134034	0.496760075994	chr1
chr1_12192985	0.536073483021	chr1
chr1_12246874	0.50595102854	chr1
chr1_12304090	0.415565689155	chr1
chr1_12359570	0.411816176605	chr1
chr1_12414426	0.409827931456	chr1
chr1_12470856	0.422572824728	chr1
chr1_12523653	0.452518973342	chr1
chr1_12576094	0.501326954639	chr1
chr1_12633367	0.514289409026	chr1
chr1_12687497	0.466430851523	chr1
chr1_12745451	0.430321801133	chr1
chr1_12804213	0.448986389305	chr1
chr1_12870263	0.455160700482	chr1
chr1_13189334	0.466838292325	chr1
chr1_13824109	0.483830023994	chr1
chr1_13881622	0.453272721283	chr1
chr1_13942335	0.440577222078	chr1
chr1_14004078	0.41290334362	chr1
chr1_14058838	0.411692520085	chr1
chr1_14110990	0.485301916812	chr1
chr1_14163785	0.423519867374	chr1
chr1_14220485	0.43726800297	chr1
chr1_14274364	0.426915820681	chr1
chr1_14330018	0.422772478181	chr1
chr1_14384214	0.429396295449	chr1
chr1_14436689	0.434385366667	chr1
chr1_14490647	0.416799544419	chr1
chr1_14543326	0.408971821694	chr1
chr1_14596380	0.416190493689	chr1
chr1_14650806	0.428218731943	chr1
chr1_14707916	0.429752346681	chr1
chr1_14766828	0.430990117472	chr1
chr1_14820457	0.435525778553	chr1
chr1_14874338	0.454391986945	chr1
chr1_14927650	0.448099401401	chr1
chr1_14980606	0.465826082033	chr1
chr1_15033584	0.474260929118	chr1
chr1_15086149	0.48410889346	chr1
chr1_15140109	0.483793920621	chr1
chr1_15193699	0.486576098645	chr1
chr1_15249494	0.519020840225	chr1
chr1_15303907	0.518449987546	chr1
chr1_15360112	0.5171131503	chr1
chr1_15414163	0.499859173442	chr1
chr1_15467419	0.485882695386	chr1
