bin.chrom	bin.start	bin.end	bin.length	gene.count	cgi.count	dist.telomere	gc.content	chrom.arm
chr1	0	892035	892036	17	19	0	0.445098328	chr1p
chr1	892036	1033527	141492	7	27	892036	0.625886976	chr1p
chr1	1033528	1172211	138684	8	20	1033528	0.60129503	chr1p
chr1	1172212	1311901	139690	11	21	1172212	0.624797766	chr1p
chr1	1311902	1487402	175501	11	25	1311902	0.573102148	chr1p
chr1	1487403	1699005	211603	8	25	1487403	0.553673625	chr1p
chr1	1699006	1847900	148895	2	4	1699006	0.491836529	chr1p
chr1	1847901	1989198	141298	4	17	1847901	0.570015145	chr1p
chr1	1989199	2127305	138107	2	13	1989199	0.565662856	chr1p
chr1	2127306	2264444	137139	2	13	2127306	0.59266146	chr1p
chr1	2264445	2396976	132532	3	13	2264445	0.587842936	chr1p
chr1	2396977	2530246	133270	8	20	2396977	0.62275831	chr1p
chr1	2530247	2759458	229212	0	5	2530247	0.573499542	chr1p
chr1	2759459	2888864	129406	0	8	2759459	0.573304174	chr1p
chr1	2888865	3017689	128825	3	8	2888865	0.559153891	chr1p
chr1	3017690	3145949	128260	1	9	3017690	0.576040855	chr1p
chr1	3145950	3276176	130227	0	10	3145950	0.566840978	chr1p
chr1	3276177	3404724	128548	2	10	3276177	0.577963095	chr1p
chr1	3404725	3533805	129081	1	10	3404725	0.622260441	chr1p
chr1	3533806	3666706	132901	4	9	3533806	0.57587979	chr1p
chr1	3666707	3809269	142563	6	8	3666707	0.514270884	chr1p
chr1	3809270	4092163	282894	1	2	3809270	0.509661836	chr1p
chr1	4092164	4231885	139722	0	2	4092164	0.502283105	chr1p
chr1	4231886	4371282	139397	0	0	4231886	0.449801646	chr1p
chr1	4371283	4502600	131318	1	0	4371283	0.480535799	chr1p
chr1	4502601	4633466	130866	0	0	4502601	0.471902557	chr1p
chr1	4633467	4766869	133403	1	2	4633467	0.508609252	chr1p
chr1	4766870	4895825	128956	0	2	4766870	0.492346227	chr1p
chr1	4895826	5033832	138007	0	0	4895826	0.453324831	chr1p
chr1	5033833	5170491	136659	0	0	5033833	0.41325489	chr1p
chr1	5170492	5305287	134796	0	0	5170492	0.438833497	chr1p
chr1	5305288	5437107	131820	0	0	5305288	0.466294948	chr1p
chr1	5437108	5565504	128397	0	0	5437108	0.492386894	chr1p
chr1	5565505	5697609	132105	0	0	5565505	0.449498505	chr1p
chr1	5697610	5833244	135635	0	2	5697610	0.503955469	chr1p
chr1	5833245	5966971	133727	1	2	5833245	0.521398072	chr1p
chr1	5966972	6099459	132488	1	2	5966972	0.510929292	chr1p
chr1	6099460	6232068	132609	1	6	6099460	0.564411164	chr1p
chr1	6232069	6371782	139714	6	13	6232069	0.552500107	chr1p
chr1	6371783	6526806	155024	5	9	6371783	0.547805501	chr1p
chr1	6526807	6671864	145058	4	9	6526807	0.541610942	chr1p
chr1	6671865	6818876	147012	3	3	6671865	0.480879112	chr1p
chr1	6818877	6954510	135634	1	1	6818877	0.423898138	chr1p
chr1	6954511	7086145	131635	0	1	6954511	0.486686671	chr1p
chr1	7086146	7218776	132631	0	1	7086146	0.477904864	chr1p
chr1	7218777	7353217	134441	0	0	7218777	0.442089839	chr1p
chr1	7353218	7490569	137352	0	0	7353218	0.472464908	chr1p
chr1	7490570	7620390	129821	0	0	7490570	0.537447716	chr1p
chr1	7620391	7757549	137159	0	2	7620391	0.541247749	chr1p
chr1	7757550	7893241	135692	2	5	7757550	0.428750405	chr1p
chr1	7893242	8039796	146555	3	3	7893242	0.446576371	chr1p
chr1	8039797	8184502	144706	1	1	8039797	0.437051677	chr1p
chr1	8184503	8334680	150178	0	2	8184503	0.473651267	chr1p
chr1	8334681	8474159	139479	2	7	8334681	0.483599682	chr1p
chr1	8474160	8613192	139033	0	1	8474160	0.42244647	chr1p
chr1	8613193	8755897	142705	0	0	8613193	0.399439403	chr1p
chr1	8755898	8900260	144363	0	3	8755898	0.41860449	chr1p
chr1	8900261	9054862	154602	2	1	8900261	0.482684571	chr1p
chr1	9054863	9201804	146942	3	3	9054863	0.489254264	chr1p
chr1	9201805	9341981	140177	2	5	9201805	0.510711458	chr1p
chr1	9341982	9479305	137324	1	2	9341982	0.533606653	chr1p
chr1	9479306	9633659	154354	1	3	9479306	0.483641499	chr1p
chr1	9633660	9781983	148324	3	6	9633660	0.521385615	chr1p
